data,res
"1 “First Click: Amazon Echo Leaves the Door Open for Google Home,” The Verge, October 4, 2016.",1
"1 “Lyft and GM Expand Express Drive Driver Rental Program,” TechCrunch, July 11, 2016.",1
"1 “Rhizabot Gives Salespeople Immediate Access to Deep Data,” VentureBeat, August 9, 2016.",1
"1 “Tesla May Have Announced the Breakthrough Needed to Make EVs Affordable for Everyone,” Greentech Media, November 4, 2016.",1
"1 “This CEO Runs a Billion-Dollar Company with No Offices or Email,” Inc., March 16, 2016.",1
1 hour ago,0
1 hour ago,0
1 hour ago,0
1 hour ago,0
1 hour ago,0
1 hour ago,0
1 hour ago,0
1 hour ago,0
1 in 4 injury hospitalizations for teens caused by self-harm http://www.cbc.ca/news/health/self-harmbehind-,0
1 in 5 emergency department visits in Canada could be treated elsewhere http://www.cbc.ca/news/health/1-,0
1 in 5 Women With UTIs Are Still Being Told There's Nothing Wrong With Them - New study shows the current standard test for urinary tract infections is failing to detect the culprit bacteria in at least 1/5 of cases leaving many patients without necessary treatment.,0
"1 Krantz, D. S., Whittaker, K. S., & Sheps, D. S. (2011). “Psychosocial risk factors for coronary",0
"1 Krantz, D. S., Whittaker, K. S., & Sheps, D. S. (2011). “Psychosocial risk factors for coronary",0
1 likes,0
1%AEROSPACE & DEFENSE,1
1%SEMICONDUCTOR,1
1. Focus on the easy variations of exercises you find too hard.,0
1. Focus on the easy variations of exercises you find too hard.,0
"1. Trans fat policies around the world, 2005–2012",0
1. Was purpose of the review clearly stated? 95 (90),0
1.0k Comments,0
1.1k Comments,0
1.2 million children in the US have lead poisoning. We’re only treating half of them.,0
1.2799865?cmp=rss,0
1.2802490?cmp=rss,0
1.2804787?cmp=rss,0
1.2805369?cmp=rss,0
1.2805678?cmp=rss,0
1.2806571?cmp=rss,0
1.2806853?cmp=rss,0
1.2807316?cmp=rss,0
1.2808678?cmp=rss,0
1.2810100?cmp=rss,0
1.2810699?cmp=rss,0
1.2810995?cmp=rss,0
1.2811508?cmp=rss,0
1.2812473?cmp=rss,0
1.2812696?cmp=rss,0
1.2813455?cmp=rss,0
1.2814196?cmp=rss,0
1.2815372?cmp=rss,0
1.2817153?cmp=rss,0
1.2817555?cmp=rss,0
1.2818016?cmp=rss,0
1.2818784?cmp=rss,0
1.2820211?cmp=rss,0
1.2820949?cmp=rss,0
1.2821486?cmp=rss,0
1.2821689?cmp=rss,0
1.2822170?cmp=rss,0
1.2823265?cmp=rss,0
1.2823827?cmp=rss,0
1.2826206?cmp=rss,0
1.2827461?cmp=rss,0
1.2827488?cmp=rss,0
1.2830817?cmp=rss,0
1.2830963?cmp=rss,0
1.2830986?cmp=rss,0
1.2831755?cmp=rss,0
1.2832648?cmp=rss,0
1.2832760?cmp=rss,0
1.2833862?cmp=rss,0
1.2834537?cmp=rss,0
1.2835525?cmp=rss,0
1.2837539?cmp=rss,0
1.2838235?cmp=rss,0
1.2838239?cmp=rss,0
1.2838498?cmp=rss,0
1.2839319?cmp=rss,0
1.2840446?cmp=rss,0
1.2840755?cmp=rss,0
1.2840892?cmp=rss,0
1.2841174?cmp=rss,0
1.2843872?cmp=rss,0
1.2844518?cmp=rss,0
1.2845018?cmp=rss,0
1.2845836?cmp=rss,0
1.2846166?cmp=rss,0
1.2846667?cmp=rss,0
1.2846911?cmp=rss,0
1.2847551?cmp=rss,0
1.2848653?cmp=rss,0
1.2848900?cmp=rss,0
1.2848980?cmp=rss,0
1.2849021?cmp=rss,0
1.2849060?cmp=rss,0
1.2849094?cmp=rss,0
1.2850514?cmp=rss,0
1.2851115?cmp=rss,0
1.2851270?cmp=rss,0
1.2852136?cmp=rss,0
1.2852392?cmp=rss,0
1.2853397?cmp=rss,0
1.2853472?cmp=rss,0
1.2856221?cmp=rss,0
1.2856741?cmp=rss,0
1.2857225?cmp=rss,0
1.2857444?cmp=rss,0
1.2857965?cmp=rss,0
1.2858622?cmp=rss,0
1.2858649?cmp=rss,0
1.2858862?cmp=rss,0
1.2858954?cmp=rss,0
1.2859029?cmp=rss,0
1.2859504?cmp=rss,0
1.2860245?cmp=rss,0
1.2861586?cmp=rss,0
1.2861722?cmp=rss,0
1.2862410?cmp=rss,0
1.2864413?cmp=rss,0
1.2864706?cmp=rss,0
1.2870084?cmp=rss,0
1.2870294?cmp=rss,0
1.2870458?cmp=rss,0
1.2871025?cmp=rss,0
1.2871274?cmp=rss,0
1.2871428?cmp=rss,0
1.2872381?cmp=rss,0
1.2873233?cmp=rss,0
1.2873304?cmp=rss,0
1.2875009?cmp=rss,0
1.2875670?cmp=rss,0
1.2876608?cmp=rss,0
1.2878227?cmp=rss,0
1.2878837?cmp=rss,0
1.2879917?cmp=rss,0
1.—Criteria Used to Evaluate Quality of Review Articles on the Health Effects of Passive Smoking,0
"10 “Freelancing in America 2016,” Upwork 2016.",1
"10 “Google, Sprint Launch New Text Messaging Platform,” Morning Consult, November 4, 2016.",1
"10 Apache Spark – Lightning-Fast Cluster Computing, Apache.org, (n.d.).",1
10 Big Tech Stocks That Are Surprising Bargains Right Now,0
10 Big Tech Stocks That Are Surprising Bargains Right Now,0
10 Big Tech Stocks That Are Surprising Bargains Right Now,0
10 Big Tech Stocks That Are Surprising Bargains Right Now,0
"10 Companies Supporting the OpenStack Foundation, OpenStack web site, (n.d.).",1
10 minutes ago,0
10 minutes of exercise enough to boost brain,0
10 minutes of exercise enough to boost brain,0
10 Most Influential Stock Analysts You Can Learn Your Lessons From,0
"10 taskbar searches were made via voice,",1
10 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
10 Tractable – Insurance solution. (n.d.).,1
10 years? It depends on the digital value,1
10%COMMUNICATION,1
10%CONSUMER GOODS AND SERVICES,1
10%INDUSTRIAL EQUIPMENT,1
10%INSURANCE,1
10%PUBLIC SERVICES,1
10%RETAIL,1
10%UTILITIES,1
"'10. Promise to reduce has led to ""in…",0
10. Were the findings clearly summarized (either graphically or in words)? 59 (56),0
100 of the Fortune 500 are already using,1
100% consistent brand experience through,1
100-DAYPLAN,1
100-DAYPLAN,1
100-DAYPLAN,1
100-DAYPLAN,1
100-DAYPLAN,1
106 articles that satisfied these inclusion,0
106) of the articles were reevaluated usingthisconsensusprocess.Agreementbetween,0
"11 “Accenture and IPsoft Launch Accenture Amelia Practice to Help Organizations Accelerate Adoption of Artificial Intelligence,” Accenture Newsroom,",1
"11 “Airbnb Tries More Self-Regulation In New York, Too,” Consumerist, October 19, 2016.",1
"11 “Data Driven-Toyota Customer 360 Insights on Apache Spark and MLlib,” presentation at Spark Summit 2015, June 24, 2015.",1
"11 “The DNA of Strategic Vendor Partnerships – The CIO Executive Council’s and IDC’s 2016 Strategic Partner Index Study,” IDC, Doc #US41491916, June 2016.",1
11 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
11%BANKING,1
11. Did the authors adequately discuss data limitations and study inconsistencies? 64 (60),0
"12 “Airbnb: The Growth Story You Didn’t Know,” GrowthHackers, (n.d.).",1
"12 “Virgin Atlantic Tested 3 Ways to Change Employee Behavior,” Harvard Business Review, August 1, 2016.",1
"12 “Why it’s Time for CIOs to Invest in Machine Learning,” CIO, April 26, 2016.",1
12 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
12. Were the stated conclusions supported by the data presented? 59 (56),0
12.1 years,0
127 articles excluded on the basis,0
"13 “Airbnb Now Requires that Hosts Accept Anti-Discrimination Rules,” Engadget, November 1, 2016.",1
"13 “Here’s how A.I. Is About to Make Your Car Really Smart,” ComputerWorld, June 14, 2016.",1
"13 FullStory web site, (n.d.).",1
13 minutes ago,0
13 Premier League loanees who could make spectacular first-team returns in 2017/18,0
13 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
"130; 95% CI, 20-862; P,.001).",0
"14 “Forecast: Connected Car Production, Worldwide,” Gartner, September 7, 2016.",1
"14 “Propelling Growth and Value Through Personalization,” Accenture, October 13, 2016.",1
"14 “Uber-nomics: Here’s What It Would Cost Uber to Pay its Drivers as Employees,” Fortune, September 18, 2015.",1
"14 countries, 2009,",0
14 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
"15 “Building Digital Trust: The Role of Data Ethics in the Digital Age,” Accenture, June 13, 2016.",1
"15 “Samsung and Volkswagen Use Driverless Vehicles in Russian Factories,” Forbes, February 24, 2015.",1
"15 “Whose Data Is It Anyway?” The Chartered Institute of Marketing, 2016.",1
15 August 2016 Independence Day in India Share and Celebrate...,0
15 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
"150,000% from 2007",1
"1566 JAMA, May 20, 1998—Vol 279, No. 19 Review Articles About Passive Smoking—Barnes & Bero",0
"1568 JAMA, May 20, 1998—Vol 279, No. 19 Review Articles About Passive Smoking—Barnes & Bero",0
"16 “Banks Claim Blockchain Breakthrough in Money Transfer,” Financial Times, June 22, 2016.",1
"16 “Digital Disconnect in Customer Engagement,” Accenture, March 23, 2016.",1
"16 “Eviza: A Natural Language Interface for Visual Analysis,” (pp. 365–377), Tableau Software, ACM Press. 2016.",1
16 minutes ago,0
16 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
16 US children hospitalized with gunshot wounds each day,0
"17 “Shipping Giant Maersk Tests Blockchain-powered Bill of Lading,” International Business Times, October 12, 2016.",1
"17 “The New Science of Customer Emotions,” Harvard Business Review, November 1, 2015.",1
"17 “Why Artificial Intelligence Is the Future of Growth,” Accenture, 2016.",1
17 comments,0
17 Comments,0
17 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
172 abstracts reviewed,0
18 (17),0
"18 “New Study Reveals That Traditional Retailers Are Failing to Meet Consumer Desires for 'Amazon-like' Personalization,” Swirl, December 10, 2015.",1
"18 “Transforming Tomorrow. Delivering Today,” IPsoft, (n.d.).",1
"18 “Walmart, IBM and Tsinghua University Explore the Use of Blockchain to Help Bring Safer Food to Dinner Tables Across China,” IBM press release,",1
18 minutes ago,0
18 months after discovery the “Nintendo PlayStation” is finally working,1
18 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
18 year-old Mike Tyson with Cus D'Amato before Tyson's first professional fight against Hector Mercedes on March 6 1985 in Albay NY.,0
"19 “Differential privacy,” Wikipedia.",1
"19 “Supporting the Buyer Journey with Customer Service,” Forrester Consulting report commissioned by SAP, July 2016.",1
19 Coursera for Business. (n.d.).,1
19 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
192 comments,0
192.168.o.1.1 IP Address,1
1979 to be accomplished by the year 1990. The,0
1980 and 1995. An article was excluded if,0
1980-1986 16 (15),0
1980s would be based on fewer original,0
"1987-1991, or 1992-1995. These categorizations",0
1987-1992 47 (44),0
1993-1995 43 (41),0
1-in-4-teen-injury-hospitalizations-1.2839395?cmp=rss,0
"2 “Deep-Diving Robots Zap, Kill Invasive Lionfish,” LiveScience, September 26, 2016.",1
"2 “Disruption and the Digital Value of Business – the Rise of Digital Economics,” Gartner Symposium/ITxpo, October 16, 2016.",1
"2 “Research on the Timing of Security Warnings,” Schneier on Security, August 22, 2016.",1
"2 “The Inside Story of How Amazon Created Echo, the Next Billion-Dollar Business No One Saw Coming,” Business Insider, April 2, 2016.",1
"2 “Whole Foods Invests in Instacart at 2014 Valuation,” Bloomberg, September 23, 2016.",1
"2 Accenture analysis based on S&P Capital IQ Market Capitalization as of October 4, 2016;",1
2 hours ago,0
"2 Kiecolt-Glaser, J., & Glaser, R. Stress and health research homepage: http://pni.osumc.edu.",0
"2 Kiecolt-Glaser, J., & Glaser, R. Stress and health research homepage: http://pni.osumc.edu.",0
2 likes,0
2 likes,0
2 rounds of chemo fail to shrink Rob Ford's tumour http://www.cbc.ca/news/canada/toronto/rob-ford-stumour-,0
"2 Section 1 Lifestyles for Health, Fitness, and Wellness",0
2 symposia were identified through Tobacco,0
2 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
2%AIRLINES,1
2%AUTOMOTIVE,1
2%ENERGY,1
2%HEALTHCARE,1
2%TECHNOLOGY,1
2. Did the authors clearly describe their strategy for identifying primary research,0
2. Start with fewer reps (or holding a position like a plank for fewer seconds). When that,0
2. Start with fewer reps (or holding a position like a plank for fewer seconds). When that,0
2.3 million people got an NES Classic though many more wanted one,1
2.—Descriptive Characteristics of Review,0
2/3 of them in NAmerica &amp; Europe. htt…,0
"20 “Announcing Coursera for Business,” Coursera web site, August 31, 2016.",1
"20 “Getting Down to Business with AI: Double Economic Growth Rates, Boost Labor Productivity,” Accenture, September 28, 2016.",1
"20 “Tackling Urban Mobility with Technology,” Google Europe Blog, November 18, 2015.",1
20 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
20% of blood flow these areas get during rest.,0
20% of blood flow these areas get during rest.,0
"200,000 drivers globally, and a 2016 court",1
2000 objectives designed to be accomplished by the turn of,0
20000 Pakistani Schools to Go Solar,1
2005 study measured immune components in 15 healthy women during exercise and at rest.,0
2005 study measured immune components in 15 healthy women during exercise and at rest.,0
2009. Follow,0
2013 Will See the End of NHS Homeopathy Hospitals in England.,0
2016 found that 75% of people are generally comfortable,1
"2016 study, 98% of US digital buyers said that",1
"2016, and nearly 40% of their customers are",1
2017 Met Gala: Stars pay tribute to Rei Kawakubo,0
2017 VISION TRENDS,1
2018 Masters Tickets Lottery Now Open,0
"202,000 Graco strollers recalled in Canada due to amputation risk http://www.cbc.ca/news/business/202-",0
2023 articles and 200,0
205 articles excluded on the,0
"21 “A Current List of Use Cases for Ethereum,” Around The Block, May 23, 2016.",1
"21 “There Are Significant Business Costs to Replacing Employees,” Center for American Progress, November 16, 2012.",1
21 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
"22 “Linking Customer and Employee Feedback – The Unexpected Power of Connected Feedback Loops,” Medallia Institute, 2016.",1
22 articles excluded following,0
22 Digix Global. (n.d.).,1
22 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
220 million connected cars that are equipped,1
"23 “Smart contract,” Wikipedia.",1
23 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
24 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
"24–48 hours, BBVA partnered with Dwolla.",1
25 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
26 articles included,0
26 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
264 Bull World Health Organ 2013;91:262–269H | doi:10.2471/BLT.12.111468,0
266 Bull World Health Organ 2013;91:262–269H | doi:10.2471/BLT.12.111468,0
27 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
28 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
29 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
2net platform.,1
2x chance of VitD deficiency as kids who onl…,0
"3 “2016 Internet Trends Report,” KPCB, June 1, 2016.",1
"3 “The $3 Trillion Prize for Busting Bureaucracy,” The Management Lab, March 2016.",1
"3 “The Future of Humanity’s Food Supply Is in the Hands of AI,” Wired, May 25, 2016.",1
"3 “The Next Wave of Supermarket Competition,” Progressive Grocer, March 20, 2015.",1
"3 “These Networks (and Netflix) Dominated the 2016 Emmy Nominations,” Fortune, July 14, 2016.",1
"3 “What Is Big Data?” IBM, (n.d.).",1
3 articles added from article,0
3 Benefits of Installing Cell Phone Spy Software on a Smartphone,1
3 Digital Resources For Improving Your Overall Security,1
3 hours ago,0
3 minutes ago,0
3 pro-choice groups merge to gain clout on abortion access concerns http://www.cbc.ca/news/politics/prochoice-,0
3 Strategies for enhancing Collaborative Innovation with Suppliers.,0
3 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
"3 Thorn, B. E., Pence, L. B., et al. (2007). “A randomized clinical trial of targeted cognitive",0
"3 Thorn, B. E., Pence, L. B., et al. (2007). “A randomized clinical trial of targeted cognitive",0
"3. Do just half of the exercises in a workout twice a week. Each week, try to add another exercise",0
"3. Do just half of the exercises in a workout twice a week. Each week, try to add another exercise",0
3. Was the search strategy appropriate? 13 (12),0
3.2 seconds to score,0
30 40 50 60,0
30 minutes ago,0
30 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE,1
30% of new Lyft drivers were requesting an,1
"30,000 MBA-type",1
30-backlash-celebrity-charity-model-losing-lustre-1.2840715?cmp=rss,0
31 (29),0
31 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
32 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
33 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
34 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
35 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
36 comments,0
36 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
365-DAY PLAN,1
365-DAY PLAN,1
365-DAY PLAN,1
365-DAY PLAN,1
365-DAY PLAN,1
37 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
38 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
39 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
3D printed from titanium Stealth Keys are nearly impossible to duplicate,1
3D vs Flat Design,1
3-million-to-fight-ebola-in-africa-1.2805638?cmp=rss,0
'3-parent' embryo rules proposed in U.K. http://www.cbc.ca/news/technology/3-parent-embryo-rulesproposed-,0
"4 “2016 Internet Trends Report,” KPCB, June 1, 2016.",1
"4 “CVS Health Launches Five New Digital Health Features, Including an Apple Watch App,” MobiHealth News, November 18, 2015.",1
"4 “Nvidia’s New Xavier SoC Is an AI Supercomputer for Cars,” TechCrunch, September 28, 2016.",1
"4 “The Amazon Echo Echoes throughout Retail,” Checkout Tracking, August 24, 2016.",1
"4 “The Rise of the Platform Enterprise – A Global Survey,” The Center for Global Enterprise, January 2016.",1
"4 “Up in the Air: HR Tech Deal Activity Reaches New High,” CB Insights, November 7, 2016.",1
4 Expensive Things To Expect From The Brangelina Divorce,0
"4 Krantz, D. S., & McCeney, M. K. (2002). “Effects of psychological and social factors on organic",0
"4 Krantz, D. S., & McCeney, M. K. (2002). “Effects of psychological and social factors on organic",0
4 leading AWS cloud monitoring and management tools,1
4 minutes ago,0
4 minutes ago,0
4 Reasons Why Hugs Are Good for Your Health,0
"4 Section 1 Lifestyles for Health, Fitness, and Wellness",0
4 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
4 Tips To Help You Stay Safe On Social Media,1
"4, labelling and voluntary",0
4. Did the authors clearly report their criteria for deciding which studies to include,0
40 minutes ago,0
40 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
41 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE,1
42 (40),0
42 TECHNOLOGY VISION 2017 TECHNOLOGY FOR PEOPLE #TECHVISION2017,1
